data.sca.check.title,timestamp,data.sca.check.file,data.sca.check.result,data.sca.policy
Ensure 'Accounts: Guest account status' is set to 'Disabled'.,"Feb 25, 2026 @ 01:28:37.184",,failed,CIS Microsoft Windows 10 Enterprise Benchmark v4.0.0
Ensure 'Accounts: Guest account status' is set to 'Disabled'.,"Feb 23, 2026 @ 23:49:05.727",,passed,CIS Microsoft Windows 10 Enterprise Benchmark v4.0.0
